player,role,amount,team,year,player_origin,amount_log,amount_scaled,year_scaled,role_encoded,team_encoded,origin_encoded,amount_normalized
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas,17.50439003707821,1.121549271702152,-1.319982884325854,19669590.643274855,19513392.85714286,26280014.124293786,0.8625595795966183
Aaron Finch,All-Rounder,32000000,Mumbai Indians,2015,Overseas,17.281246492014,0.9596695026861171,-0.9823290346960878,19833904.10958904,16299065.420560747,26280014.124293786,0.8103825823032591
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas,16.118095750958314,0.11586031591917634,-0.6446751850663216,19669590.643274855,6833333.333333333,26280014.124293786,0.5384064736044065
Aaron Finch,All-Rounder,62000000,Kings XI Punjab,2018,Overseas,17.9426449591384,1.4394818631774242,0.030632514193211002,19833904.10958904,21982142.85714286,26280014.124293786,0.9650354360035585
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas,17.599700214609808,1.1906921614023789,0.7059402134527436,19669590.643274855,19848913.04347826,26280014.124293786,0.8848456774251026
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian,14.508658238524095,-1.0517081776423227,0.7059402134527436,19833904.10958904,19513392.85714286,14959009.74025974,0.162076444851182
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian,15.201805169084134,-0.5488638539091648,1.381247912712276,19669590.643274855,18454439.25233645,14959009.74025974,0.3241529481590604
Abhimanyu Mithun,All-Rounder,3000000,Mumbai Indians,2015,Indian,14.914123179965662,-0.7575631193760233,-0.9823290346960878,19833904.10958904,16299065.420560747,14959009.74025974,0.2568851167581414
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian,14.914123179965662,-0.7575631193760233,-0.6446751850663216,18284883.720930234,19513392.85714286,14959009.74025974,0.2568851167581414
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian,17.073607134447293,0.8090372662400037,1.381247912712276,19669590.643274855,23625000.0,14959009.74025974,0.7618308834645795
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian,17.739956103144063,1.2924409744031344,-1.6576367339556204,19833904.10958904,46875000.0,14959009.74025974,0.9176412983529842
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian,16.118095750958314,0.11586031591917634,-1.319982884325854,19833904.10958904,17672500.0,14959009.74025974,0.5384064736044065
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian,15.520258832020865,-0.31784123847265683,0.030632514193211002,19833904.10958904,20617647.05882353,14959009.74025974,0.39861602933099727
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian,17.989897843244528,1.4737615281448357,1.381247912712276,19833904.10958904,19513392.85714286,14959009.74025974,0.9760844385879692
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian,14.914123179965662,-0.7575631193760233,-1.319982884325854,18284883.720930234,19848913.04347826,14959009.74025974,0.2568851167581414
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas,15.76142084987672,-0.1428899454172702,-0.9823290346960878,18284883.720930234,19848913.04347826,26280014.124293786,0.4550062329970057
